Translation Keys,en-US,zh-CN,zh-HK
!help.name.plural,Documents,,
Last Week,Last Week,Last Week,
Latest Orders,Latest Orders,Latest Orders,
Latest Products,Latest Products,Latest Products,
Paid Orders Count,Paid Orders Count,Paid Orders Count,
QOR DEMO,QOR DEMO,QOR DEMO,
Registered Users Count,Registered Users Count,Registered Users Count,
Reports,Reports,Reports,
This Week,This Week,This Week,
Update Report,Update Report,Update Report,
Yesterday,Yesterday,Yesterday,
addresses.attributes.Address1,,Address1,
addresses.attributes.Address2,,Address2,
addresses.attributes.City,,City,
addresses.attributes.Contact Name,,Contact Name,
addresses.attributes.Phone,,Phone,
areas.attributes.Is Hot,Is Hot,Is Hot,
areas.attributes.Name,Name,Name,
auth.confirmations.resend_confirmation,Resend Confirmation,,
auth.form.email,Email,,
auth.form.email_placeholder,email address,,
auth.form.forgot_password,Continue,,
auth.form.new_password,New Password,,
auth.form.new_password_placeholder,Enter your new password,,
auth.form.password,Password,,
auth.form.password_confirm,Confirm Password,,
auth.form.password_confirm_placeholder,Confirm Password,,
auth.form.password_placeholder,Password,,
auth.form.reset_password,Reset password,,
auth.form.sign_in,Sign in,,
auth.form.sign_up,Sign Up,,
auth.links.forgot_password,Forgot Password?,,
auth.links.sign_in,Already registered? Sign in,,
auth.links.sign_in_with,Sign in with {{$1}},,
auth.links.sign_up,Don't have an account? Click here to sign up.,,
auth.or_sign_in_with,OR SIGN IN WITH,,
auth.passwords.forgot_password,Forgot Password?,,
auth.passwords.forgot_password_desc,Enter your email address & we'll send you a link to reset your password.,,
auth.passwords.reset_password,Reset your password,,
auth.sign_in,Sign In,,
auth.sign_up,Sign Up,,
banners.name.plural,Banners,,
banners.tables.no_items,No banners to show.,,
building_types.name.plural,Building Types,,
building_types.tables.no_items,No building types to show.,,
categories.actions.Delete,,Delete,
categories.actions.Localize,,Localize,
categories.attributes.Categories,,Categories,
categories.attributes.Categories.placeholder,,Select some Options,
categories.attributes.Code,,Code,
categories.attributes.ID,,ID,
categories.attributes.Localization,,Localization,
categories.attributes.Name,,Name,
categories.name,,Category,
categories.name.plural,,Categories,
collections.actions.Delete,,Delete,
collections.actions.Localize,,Localize,
collections.attributes.ID,,ID,
collections.attributes.Localization,,Localization,
collections.attributes.Name,,Name,
collections.name,,Collection,
collections.name.plural,,Collections,
colors.actions.Create New Version,,Create New Version,
colors.actions.Delete,,Delete,
colors.actions.Localize,,Localize,
colors.attributes.Code,,Code,
colors.attributes.ID,,ID,
colors.attributes.Live Now,,Live Now,
colors.attributes.Localization,,Localization,
colors.attributes.Name,,Name,
colors.attributes.Scheduled End At,,Scheduled End At,
colors.attributes.Scheduled Start At,,Scheduled Start At,
colors.attributes.Version Name,,Version Name,
colors.name.plural,,Colors,
districts.actions.Delete,Delete,,
districts.actions.Localize,Localize,,
districts.attributes.Areas,Areas,Areas,
districts.attributes.Localization,Localization,,
districts.attributes.Name,Name,Name,
districts.attributes.Regions,Regions,,
districts.attributes.add_Area,Add Area,Add Area,
districts.attributes.add_Region,Add Region,,
districts.name,District,District,
districts.name.plural,Districts,Districts,
districts.tables.no_items,No districts to show.,No districts to show.,
en-US,en-US,en-US,
export_translation_arguments.attributes.Scope,,,Scope
export_translation_arguments.attributes.Scope.placeholder,,,Select an Option
facilities.name.plural,Facilities,,
facilities.tables.no_items,No facilities to show.,,
home.feature_product.subtitle,"Your daily dose of QOR, brought to you by <a href=""https://theplant.jp/"">The Plant</a>","你每日使用 QOR的量, 通过 <a href=""https://theplant.jp/""> The Plant</a> 反馈给你",
home.feature_product.title,FEATURED PRODUCTS,特色产品,
home.goodness.find_a_store,FIND A STORE,寻找店铺,
home.goodness.get_newsletter,GET OUR NEWSLETTER,订阅我们的信件,
home.goodness.get_newsletter_info,"Be the first to get new product infos, monthly newsletter exclusive deals and discounts!",订阅邮件获取最新的产品和折扣信息!,
home.goodness.subtitle,If you just can't get enough…,如果你仍然没有得到足够的...,
home.goodness.title,MORE QOR GOODNESS,更多关于QOR,
layout.about_qor,"<p>QOR is Open Source software brought to you by <a href=""https://theplant.jp/"">The Plant</a> under an MIT license.</p><p>The name “QOR” is a trademark of The Plant and <a href=""https://theplant.jp/"">subject to trademark restrictions</a>.</p>","<p>Qor 是公开的开源项目，在 MIT 许可下发布。通过 <a href=""https://theplant.jp/"">The Plant</a> 呈现给你</p><p> “QOR” 是 The Plant 的商标<a href=""https://theplant.jp/"">受商标权的限制</a>.</p>",
layout.connect,CONNECT,联系我们,
layout.footer_link.about_us,About Us,关于我们,
layout.footer_link.blog,Blog,博客,
layout.footer_link.faq,FAxxxQs,常见问题解答,
layout.footer_link.press,Press,新闻,
layout.footer_link.privacy_policy,Privacy Policy,隐私政策,
layout.footer_link.shipping,Shipping,配送,
layout.footer_link.size_guide,Size Guide,尺寸指南,
layout.footer_link.terms_of_use,Terms of Use,使用条款,
layout.header_link.accessories,ACCESSORIES,配件,
layout.header_link.apparel,APPAREL,衣服,
layout.header_link.cart,CART,购物车,
layout.header_link.help,HELP,帮助,
layout.header_link.logout,Logout,登出,
layout.header_link.my_account,MY ACCOUNT,我的账户,
layout.header_link.register,REGISTER,REGISTER,
layout.header_link.sign_in,SIGN IN,登入,
layout.header_link.stationery,STATIONERY,文具,
layout.navs.about_us,,,
layout.navs.buy,,,
layout.navs.contact_us,,,
layout.navs.home,,,
layout.navs.join_our_team,,,
layout.navs.rent,,,
layout.support_and_info,SUPPORT & INFO,支持 & 信息,
list_properties.name.plural,List Properties,,
list_properties.tables.no_items,No list properties to show.,,
localize_action_arguments.attributes.From,From,,
localize_action_arguments.attributes.From.placeholder,Select an Option,,
localize_action_arguments.attributes.To,To,,
localize_action_arguments.attributes.To.placeholder,Select some Options,,
login.button,Login,登录,
login.email,Email:,邮箱地址:,
login.forget_password,Forget Password,忘记密码,
login.password,Password:,密码:,
login.register,Register,注册,
login.remember_me,Remember,记住密码,
materials.actions.Delete,,Delete,
materials.actions.Localize,,Localize,
materials.attributes.Code,,Code,
materials.attributes.ID,,ID,
materials.attributes.Localization,,Localization,
materials.attributes.Name,,Name,
materials.name.plural,,Materials,
messages.name.plural,Messages,,
messages.tables.no_items,No messages to show.,,
navs.about,ABOUT US,关于我们,
navs.buy,BUY,买盘,
navs.contact_us,CONTACT US,联系我们,
navs.home,HOME,首页,
navs.join_our_team,JOIN OUR TEAM,加入我们,
navs.rent,RENT,租盘,
notifications.name.plural,Notifications,,
open_graph_metadata.attributes.Content,,Content,
open_graph_metadata.attributes.Property,,Property,
orders.actions.Cancel,Cancel,Cancel,
orders.actions.Delete,Delete,Delete,
orders.actions.Ship,Ship,Ship,
orders.attributes.Cancelled At,Cancelled At,Cancelled At,
orders.attributes.ID,ID,ID,
orders.attributes.Payment Amount,Payment Amount,Payment Amount,
orders.attributes.Shipped At,Shipped At,Shipped At,
orders.attributes.Shipping Address,Shipping Address,Shipping Address,
orders.attributes.State,State,State,
orders.attributes.User,User,User,
product.add_to_cart,ADD TO CART,添加到购物车,
product.add_to_wishlist,TO WISHLIST,添加到购物列表,
product.also_bought,WHAT OTHER PEOPLE BOUGHT,用户还买了什么,
product.also_bought_note,"People who bought this products, also bought the following products","买过这件产品的用户, 还购买了以下产品",
product.color,COLOR:,颜色:,
product.description,DESCRIPTION:,描述:,
product.framistan,Framistan:,Framistan:,
product.made_in,Made in:,制作地:,
product.materials,Materials:,材料:,
product.quantity,QTY:,数量:,
product.recommendations,RECOMMENDATIONS,推荐,
product.recommendations_note,Products you might also like based on other products you viewed,你可能还会喜欢下面的产品,
product.share,SHARE:,分享:,
product.size,SIZE:,尺寸:,
product.size_guide,Size Guide,尺寸表,
product.specs,SPECS:,规格:,
product_images.actions.Delete,,Delete,
product_images.filter.Category,,Category,
product_images.filter.Color,,Color,
product_images.filter.Media Type,,Media Type,
product_images.name.plural,,Product Images,
product_properties.attributes.Name,,Name,
product_properties.attributes.Value,,Value,
products.actions.Create New Version,Create New Version,Create New Version,
products.actions.Delete,Delete,Delete,
products.actions.Localize,Localize,Localize,
products.actions.Sync from Name,,Sync from Name,
products.actions.View On Site,View On Site,View On Site,
products.attributes.Category,,Category,
products.attributes.Category.placeholder,,Select an Option,
products.attributes.Collections,,Collections,
products.attributes.Description,,Description,
products.attributes.Featured,,Featured,
products.attributes.Main Image,,Main Image,
products.attributes.Name,,Name,
products.attributes.Name's slug,,Name's slug,
products.attributes.Product Properties,,Product Properties,
products.attributes.Publish Ready,,Publish Ready,
products.attributes.Scheduled End At,,Scheduled End At,
products.attributes.Scheduled End At.placeholder,,YYYY-MM-DD HH:MM,
products.attributes.Scheduled Event,,Scheduled Event,
products.attributes.Scheduled Start At,,Scheduled Start At,
products.attributes.Scheduled Start At.placeholder,,YYYY-MM-DD HH:MM,
products.attributes.add_Main Image,,Add Main Image,
products.attributes.add_Product Property,,Add Product Property,
products.form.sections.Basic Information,,Basic Information,
products.form.sections.Organization,,Organization,
products.form.sections.Seo Meta,,Seo Meta,
products.name,,Product,
products.name.plural,,Products,
properties.attributes.Agent's Reference No.,Agent's Reference No.,,
